Pasal,Isi
Pasal 32,"Seseorang yang dengan keputusan pengadilan telah dinyatakan melakukan zina, sekali-kali tidak diperkenankan kawin dengan pasangan zinanya itu."
Pasal 33,"Antara orang-orang yang perkawinannya telah dibubarkan sesuai dengan ketentuan Pasal 199 nomor 3° atau 4°, tidak diperbolehkan untuk kedua kalinya dilaksanakan perkawinan kecuali setelah lampau satu tahun sejak pembubaran perkawinan mereka yang didaftarkan dalam daftar Catatan Sipil. Perkawinan lebih lanjut antara orang-orang yang sama dilarang."
Pasal 34,"Seorang perempuan tidak diperbolehkan melakukan perkawinan baru, kecuali setelah lampau jangka waktu tiga ratus hari sejak pembubaran perkawinan yang terakhir."
Pasal 35,"Untuk melaksanakan perkawinan, anak sah di bawah umur memerlukan izin kedua orang tuanya. Akan tetapi bila hanya salah seorang dan mereka memberi izin dan yang lainnya telah dipecat dan kekuasaan orang tua atau perwalian atas anak itu, maka Pengadilan Negeri di daerah tempat tinggal anak itu, atas permohonannya, berwenang memberi izin melakukan perkawinan itu, setelah mendengar atau memanggil dengan sah mereka yang izinnya menjadi syarat beserta keluarga sedarah atau keluarga-keluarga semenda. Bila salah satu orang tua telah meninggal atau berada dalam keadaan tak mampu menyatakan kehendaknya, maka izin cukup diperoleh dan orang tua yang lain."
Pasal 36,"Selain izin yang diharuskan dalam pasal yang lalu, anak-anak sah yang belum dewasa memerlukan juga izin dan wali mereka, bila yang melakukan perwalian adalah orang lain daripada bapak atau ibu mereka; bila izin itu diperbolehkan untuk kawin dengan wali itu atau dengan salah satu dan keluarga sedarahnya dalam garis lurus, diperlukan izin dan wali pengawas."
Pasal 37,"Bila bapak atau ibu telah meninggal atau berada dalam keadaan tidak mampu menyatakan kehendak mereka, maka mereka masing-masing harus digantikan oleh orang tua mereka, sejauh mereka masih hidup dan tidak dalam keadaan yang sama. Bila orang lain daripada orang-orang yang disebut di atas melakukan perwalian atas anak-anak di bawah umur itu, maka dalam hal seperti yang dimaksud dalam alinea yang lalu, si anak memerlukan lagi izin dari wali atau alinea dua pasal ini ada perbedaan pendapat atau wali pengawas, sesuai dengan perbedaan kedudukan yang dibuat dalam pasal yang lalu. Alinea kedua Pasal 35 berlaku, bila antara mereka yang izinnya diperlukan menurut alinea satu atau alinea dua pasal ini ada perbedaan pendapat atau bila salah satu atau lebih tidak menyatakan pendiriannya."
Pasal 38,"Bila bapak dan ibu serta kakek dan nenek si anak tidak ada, atau bila mereka semua berada dalam keadaan tak mampu menyatakan kehendak mereka, anak sah yang masih di bawah umur tidak boleh melakukan perkawinan tanpa izin wali dan wali pengawasnya.
"
Pasal 39,"Anak luar kawin yang diakui sah, selama masih di bawah umur, tidak boleh melakukan perkawinan tanpa izin bapak dan ibu yang mengakuinya, sejauh kedua-duanya atau salah seorang masih hidup dan tidak berada dalam keadaan tak mampu menyatakan kehendak mereka."
Pasal 40,"Anak tidak sah yang tidak diakui, tidak boleh melakukan perkawinan tanpa izin wali atau wali pengawas, selama ia masih di bawah umur. Bila kedua-keduanya, atau salah seorang, menolak untuk memberikan izin atau untuk menyatakan pendirian, Pengadilan Negeri di daerah hukum tempat tinggal anak yang masih di bawah umur itu, atas permohonannya, berkuasa"
Pasal 41,"Penetapan-penetapan Pengadilan Negeri dalam hal-hal yang termaksud dalam enam pasal yang lalu, diberikan tanpa bentuk hukum acara. Penetapan-penetapan itu, baik yang mengabulkan permohonan izin, maupun yang menolak, tidak dapat dimohonkan banding."
Pasal 42,"Anak sah yang telah dewasa, tetapi belum genap tiga puluh tahun, juga wajib untuk memohon izin bapak dan ibunya untuk melakukan perkawinan. Bila ia tidak memperoleh izin itu, Ia boleh memohon perantaraan Pengadilan Negeri tempat tinggalnya dan dalam hal itu harus diindahkan ketentuan-ketentuan dalam pasal-pasal berikut."
Pasal 43,"Dalam waktu tiga minggu, atau dalam jangka waktu yang lain jika dianggap perlu oleh Pengadilan Negeri, terhitung dari hari pengajuan surat permohonan itu, Pengadilan harus berusaha menghadapkan bapak dan ibu, beserta anak itu, agar dalam suatu sidang tertutup kepada mereka diberi penjelasan-penjelasan yang dianggap berguna oleh pengadilan demi kepentingan masing-masing. Mengenai pertemuan pihak-pihak tersebut harus dibuat berita acara tanpa mencantumkan alasan-alasan yang mereka kemukakan."
Pasal 44,"Bila baik pihaknya maupun ibunya tidak hadir, perkawinan dapat dilangsungkan dengan penunjukan akta yang memperlihatkan ketidakhadiran itu."
Pasal 45,"Bila anak itu tidak hadir, maka perkawinannya tidak dapat dilaksanakan, kecuali sesudah permohonan diajukan sekali lagi untuk perantaraan pengadilan."
Pasal 46,"Bila, sesudah anak itu dan kedua orang tuanya atau salah satu orang tua hadir, kedua orang tua itu atau salah seorang tetap menolak, maka perkawinan tidak boleh dilaksanakan bila belum lampau tiga bulan terhitung dari hari pertemuan itu."
Pasal 47,Ketentuan-ketentuan dalam lima pasal terakhir ini juga berlaku untuk anak tak sah terhadap bapak dan ibu yang mengakuinya.
Pasal 48,"Sekiranya kedua orang tua atau salah satu tidak berada di Indonesia, Presiden berkuasa memberi dispensasi dan kewajiban-kewajiban yang tercantum dalam Pasal 42 sampai dengan Pasal 47"
Pasal 49,"Dalam pengertian ketidakmungkinan bagi para orang tua atau para kakek nenek untuk memberi izin kepada anak di bawah umur untuk melakukan perkawinan, dalam hal-hal yang diatur dalam Pasal 35,37 dan 39, sekali-kali tidak termasuk ketidakhadiran terus-menerus atau sementara di Indonesia."
Pasal 50,"Semua orang yang hendak melangsungkan perkawinan, harus memberitahukan hal itu kepada Pegawai Catatan Sipil di tempat tinggal salah satu pihak."
Pasal 51,"Pemberitahuan ini harus dilakukan, baik secara langsung, maupun dengan surat yang dengan cukup jelas memperlihatkan niat kedua calon suami-istri, dan tentang pemberitahuan itu harus dibuat sebuah akta oleh Pegawai Catatan Sipil."
Pasal 52,"Sebelum pelaksanaan perkawinan itu, Pegawai Catatan Sipil harus mengumumkan hal itu dan menempel surat pengumuman pada pintu utama gedung tempat penyimpanan daftar-daftar Catatan Sipil itu. Surat itu harus tetap tertempel selama sepuluh hari. Pengumuman itu tidak boleh dilangsungkan pada hari Minggu yang disamakan dengan hari Minggu dalam hal ini ialah hari Tahun Baru, hari Paskah kedua dan Pantekosta, hari Natal, hari Kenaikan Isa Almasih, dan hari Mi'raj Nabi Muhammad s. a. w."
Pasal 53,"Bila kedua calon suami isteri tidak bertempat tinggal dalam wilayah Catatan Sipil yang sama, maka pengumuman itu akan dilakukan oleh Pegawai Catatan Sipil di tempat tinggal masing- masing pihak."
Pasal 54,"Bila calon suami isteri belum sampai enam bulan penuh bertempat tinggal dalam daerah suatu Catatan Sipil, pengumumannya harus juga dilakukan oleh Pegawai Catatan Sipil di tempat tinggal mereka yang terakhir. Bila ada alasan-alasan yang penting dan kewajiban membuat pengumuman tersebut di atas boleh diberikan dispensasi oleh Kepala Pemerintahan Daerah yang di daerahnya telah dilakukan pemberitahuan kawin."
Pasal 55,Dihapus dengan S. 916 - 338 jo. 1917 - 18.
Pasal 56,Dihapus dengan S. 916 - 338 jo. 1917 - 18.
Pasal 57,"Bila perkawinan itu belum dilangsungkan dalam waktu satu tahun, terhitung dari waktu pengumuman, perkawinan itu tidak boleh dilangsungkan, kecuali bila sebelumnya diadakan pengumuman lagi."
Pasal 58,"Janji kawin tidak menimbulkan hak untuk menuntut di muka Hakim berlangsungnya perkawinan, juga tidak menimbulkan hak untuk menuntut penggantian biaya, kerugian dan bunga, akibat tidak dipenuhinya janji itu, semua persetujuan untuk ganti rugi dalam hal ini adalah batal."
Pasal 59,Hak untuk mencegah berlangsungnya perkawinan hanya ada pada orang-orang dari dalam hal- hal yang disebut dalam pasal-pasal berikut.
Pasal 60,"Barang siapa masih terikat perkawinan dengan salah satu pihak, termasuk j�ga anak-anak yang lahir dari perkawinan ini, berhak mencegah perkawinan baru yang dilaksanakan, tetapi hanya berdasarkan perkawinan yang masih ada."
Pasal 61,Bapak dan ibu dapat mencegah perkawinan dalam hal-hal:
Pasal 62,"Dalam hal kedua orang tua tidak ada, maka kakek nenek dan wali atau wali pengawas, bila yang disebut terakhir ini harus mengganti si wali, berhak untuk mencegah perkawinan dalam hal-hal seperti yang tercantum dalam nomor 3, 4, 5 dan 6° pasal yang lalu."
Pasal 63,"Dalam hal kakek nenek tidak ada, maka saudara laki-laki dan perempuan, paman dan bibi, demikian pula wali dan wali pengawas, pengampu dan pengampu pengawas, berhak mencegah perkawinan:"
Pasal 64,"Suami yang perkawinannya telah bubar karena perceraian, boleh mencegah perkawinan bekas isterinya, bila dia hendak kawin lagi sebelum lampau tiga ratus hari sejak pembubaran perkawinan yang dulu."
Pasal 65,Kejaksaan wajib mencegah perkawinan yang hendak dilangsungkan dalam hal-hal yang tercantum dalam Pasal 27 sampai dengan 34.
Pasal 66,"Pencegahan perkawinan ditangani oleh Pengadilan Negeri, yang di daerah hukumnya terletak tempat kedudukan Pegawai Catatan Sipil yang harus melangsungkan perkawinan itu."
Pasal 67,"Dalam akta pencegahan harus disebutkan segala alasan yang dijadikan dasar pencegahan itu, dan tidak diperkenakan mengajukan alasan baru, sejauh hal itu tidak timbul setelah pencegahan."
Pasal 68,Dihapus dengan S. 1937 - 595.
Pasal 69,"Bila pencegahan itu ditolak, para penentang boleh dikenakan kewajiban mengganti biaya, kerugian dan bunga, kecuali jika penentang itu adalah keluarga sedarah dalam garis ke atas dan garis ke bawah atau Kejaksaan."
Pasal 70,"Bila terjadi pencegahan perkawinan. Pegawai Catatan Sipil tidak diperkenankan untuk melaksanakan perkawinan itu, kecuali setelah kepadanya disampaikan suatu putusan pengadilan yang telah mendapat kekuatan hukum tetapi atau suatu akta otentik dengan mana pencegahan itu ditiadakan pelanggaran atas ketentuan ini kena ancaman hukuman penggantian biaya, kerugian dan bunga."
Pasal 71,"Sebelum melangsungkan perkawinan, Pegawai Catatan Sipil harus meminta agar kepadanya diperlihatkan :
1.	akta kelahiran masing-masing calon suami istri
2.	akta yang dibuat oleh Pegawai Catatan Sipil dan didaftarkan dalam daftar izin kawin, atau akta otentik lain yang berisi izin bapak, ibu, kakek, nenek, wali atau wali pengawas,"
Pasal 72,"Jika di antara calon suami istri yang tidak dapat memperlihatkan akta kelahiran seperti yang disyaratkan pada nomor 1° pasal yang lalu, maka hal ini dapat diganti dengan akta tanda kenal lahir yang dikeluarkan oleh Kepala Pemerintahan Daerah tempat lahir atau tempat tinggal calon suami atau istri atas keterangan dua saksi laki-laki atau perempuan, keluarga atau bukan keluarga. Keterangan ini harus menyebutkan tempat dan waktu kelahirannya secermat mungkin, serta sebab-sebab yang menghalanginya untuk menunjukkan akta kelahiran."
Pasal 73,"Bila para pihak tidak dapat memperlihatkan akta kematian yang disebut dalam Pasal 71 nomor 5°, maka kekurangan itu dapat diperbaiki dengan cara yang sama seperti yang tercantum dalam pasal yang lalu."
Pasal 74,"Bila Pegawai Catatan Sipil menolak untuk melangsungkan perkawinan atas dasar tidak lengkapnya surat-surat dan keterangan-keterangan yang diharuskan oleh pasal-pasal yang lalu, maka pihak-pihak yang berkepentingan berhak mengajukan surat permohonan kepada Pengadilan Negeri; setelah mendengar Kejaksaan,bila ada alasan untuk itu,dan mendengar Pegawai Catatan Sipil,Pengadilan negeri itu secara singkat dan tanpa kemungkinan untuk banding,akan mengambil keputusan tentang lengkap atau tidak lengkapnya surat-surat."
Pasal 75,"Perkawinan tidak boleh dilangsungkan, sebelum hari kesepuluh setelah hari pengumuman, di mana hari itu sendiri tidak termasuk. Jika ada alasan penting Kepala Pemerintahan Daerah, yang di daerahnya telah dilakukan pemberitahuan kawin, berkuasa memberikan dispensasi dan"
Pasal 76,"Perkawinan harus dilaksanakan di muka umum, dalam gedung tempat membuat akta Catatan Sipil, di hadapan Pegawai Catatan Sipil tempat tinggal salah satu pihak dan dihadapan dua orang saksi, baik keluarga maupun bukan keluarga, yang telah mencapai umur dua puluh satu tahun dan berdiam di Indonesia."
Pasal 77,"Bila salah satu pihak karena halangan yang terbukti cukup sah, tidak dapat pergi ke gedung tersebut, perkawinan boleh dilangsungkan dalam sebuah rumah khusus di daerah Pegawai Catatan Sipil yang bersangkutan. Jika terjadi hal yang demikian, maka dalam akta perkawinan harus dicantumkan sebab-sebab terjadinya. Penilaian tentang sah tidaknya halangan tersebut dalam pasal ini, diserahkan kepada Pegawai Catatan Sipil itu."
Pasal 78,Kedua calon suami istri harus datang secara pribadi menghadap Pegawai Catatan Sipil itu.
Pasal 79,"Jika ada alasan-alasan penting. Presiden berkuasa untuk mengizinkan pihak-pihak yang bersangkutan melangsungkan perkawinan mereka dengan menggunakan seorang wakil yang khusus diberi kuasa penuh dengan akta otentik. Bila pemberi kuasa itu, sebelum perkawinan dilaksanakan, telah kawin dengan orang lain secara sah, maka perkawinan yang telah berlangsung dengan wakil khusus dianggap tidak pernah terjadi."
Pasal 80,"Kedua calon suami istri, di hadapan Pegawai Catatan Sipil dan dengan kehadiran para saksi, harus menerangkan bahwa yang satu menerima yang lain sebagai suami atau istrinya, dan bahwa dengan ketulusan hati mereka akan memenuhi kewajiban mereka, yang oleh undang- undang ditugaskan kepada mereka sebagai suami istri."
Pasal 81,"Tidak ada upacara keagamaan yang boleh diselenggarakan, sebelum kedua pihak membuktikan kepada pejabat agama mereka bahwa perkawinan di hadapan Pegawai Catatan Sipil telah berlangsung."
Pasal 82,"Jika terjadi pelanggaran oleh Pegawai Catatan Sipil atas ketentuan-ketentuan dalam bab ini, maka selama hal itu tidak diatur dalam aturan undang-undang hukum pidana, para Pegawai itu boleh dihukum oleh Pengadilan Negeri dengan denda uang yang tidak melebihi seratus rupiah, tanpa mengurangi hak pihak-pihak yang berkepentingan untuk menuntut ganti rugi, bila ada alasan untuk itu."
Pasal 83,"Perkawinan yang dilangsungkan di luar negeri, baik antara sesama warga negara Indonesia, maupun antara warga negara Indonesia dengan warga negara lain, adalah sah apabila perkawinan itu dilangsungkan menurut cara yang biasa di negara tempat berlangsungnya perkawinan itu, dan suami istri yang warga negara Indonesia tidak melanggar ketentuan- ketentuan tersebut dalam bagian 1 Bab ini."
Pasal 84,"Dalam waktu satu tahun setelah kembalinya suami istri ke wilayah Indonesia, akta tentang perkawinan mereka di luar negeri harus didaftarkan dalam daftar umum perkawinan di tempat tinggal mereka."
Pasal 85,Batalnya suatu perkawinan hanya dapat dinyatakan oleh Hakim.
Pasal 86,"Batalnya suatu perkawinan yang dilakukan bertentangan dengan Pasal 27, dapat dituntut oleh orang yang karena perkawinan sebelumnya terikat dengan salah seorang dan suami istri itu, oleh suami istri itu sendiri, oleh keluarga sedarah dalam garis ke atas, oleh siapa pun yang mempunyai kepentingan dengan batalnya perkawinan itu, dan, oleh Kejaksaan. Bila batalnya perkawinan yang terdahulu dipertanyakan, maka terlebih dahulu harus diputuskan ada tidaknya perkawinan terdahulu itu."
Pasal 87,"Keabsahan suatu perkawinan yang berlangsung tanpa persetujuan bekas kedua suami istri atau salah seorang dari mereka, hanya dapat dibantah oleh suami istri itu, atau oleh salah seorang dari mereka yang memberikan persetujuan secara tidak bebas."
Pasal 88,"Bila perkawinan dilakukan oleh orang yang karena cacat mental ditaruh di bawah pengampuan, keabsahan perkawinan itu hanya boleh dibantah oleh bapaknya, ibunya dan keluarga sedarah dalam garis ke atas, saudara laki-laki dan perempuan, paman dan bibinya, demikian pula oleh pengampuannya, dan akhirnya oleh Kejaksaan.
Setelah pengampuan itu dicabut, pembatalan perkawinan hanya boleh dituntut oleh suami atau istri yang telah ditaruh di bawah pengampuan itu, tetapi tuntutan ini pun tidak dapat diterima bila kedua suami istri telah tinggal bersama selama enam bulan, terhitung dari pencabutan pengampuan itu."
Pasal 89,"Bila perkawinan dilakukan oleh orang yang belum mencapai umur yang disyaratkan dalam Pasal 29, maka pembatalan perkawinan itu boleh dituntut, baik oleh orang yang belum cukup umur itu, maupun oleh Kejaksaan. Namun keabsahan perkawinan itu tidak dapat dibantah:"
Pasal 90,"Semua perkawinan yang dilakukan dengan melanggar ketentuan-ketentuan dalam pasal-pasal 30, 31, 32 dan 33, boleh dimintakan pembatalan, baik oleh suami istri itu sendiri, maupun oleh orang tua mereka atau keluarga sedarah mereka dalam garis ke atas, atau oleh siapa pun yang mempunyai kepentingan dengan pembatalan itu, ataupun oleh Kejaksaan."
Pasal 91,"Bila suatu perkawinan dilaksanakan tanpa izin bapak, ibu, kakek, nenek, wali atau wali pengawas, maka dalam hal izin harus diperoleh ataupun wali harus didengar menurut pasal- pasal 36, 37, 38, 39 dan 40, pembatalan perkawinan hanya boleh dituntut oleh orang yang harus diperoleh izinnya atau harus didengar menurut undang-undang."
Pasal 92,"Perkawinan yang dilangsungkan tidak dihadapan Pegawai Catatan Sipil yang berwenang dan tanpa kehadiran sejumlah saksi yang disyaratkan, dapat dimintakan pembatalannya oleh suami istri itu, oleh bapak, ibu, dan keluarga sedarah lainnya dalam garis ke atas, dan juga oleh wali, wali pengawas, dan oleh siapa pun yang berkepentingan dalam hal itu, dan akhirnya oleh Kejaksaan."
Pasal 93,"Dalam segala hal di mana sesuai dengan pasal-pasal 85, 90 dan 92 suatu tuntutan hukum pernyataan batal dapat dimulai oleh orang yang mempunyai kepentingan dalam ha! itu, yang demikian tidak dapat dilakukan oleh kerabat sedarah dalam garis ke samping oleh anak dari perkawinan lain, atau oleh orang-orang luar, selama suami istri itu kedua-duanya masih hidup, dan tuntutan boleh diajukan hanya bila mereka dalam hal itu telah memperoleh atau akan segera memperoleh kepentingan."
Pasal 94,"Setelah perkawinan dibubarkan, Kejaksaan tidak boleh menuntut pembatalannya."
Pasal 95,"Suatu perkawinan, walaupun telah dinyatakan batal, mempunyai segala akibat perdatanya, baik terhadap suami isteri, maupun terhadap anak-anak mereka, bila perkawinan itu dilangsungkan dengan itikad baik oleh kedua suami isteri itu."
Pasal 96,"Bila itikad baik hanya ada pada salah seorang dan suami isteri, maka perkawinan itu hanya mempunyai akibat-akibat perdata yang menguntungkan pihak yang beritikad baik itu dan bagi anak-anak yang lahir dan perkawinan itu. Suami atau isteri yang beritikad buruk boleh dijatuhi hukuman mengganti biaya, kerugian dan bunga terhadap pihak yang lain."
Pasal 97,"Dalam ha! tersebut dalam dua pasal yang lalu, perkawinan itu berhenti mempunyai akibat- akibat perdata, terhitung sejak hari perkawinan itu dinyatakan batal."
Pasal 98,"Batalnya suatu perkawinan tidak boleh merugikan pihak ketiga, bila dia telah berbuat dengan itikad baik dengan suami istri itu."
Pasal 99,"Tiada suatu perkawinan pun yang harus batal bila terjadi pelanggaran terhadap ketentuan- ketentuan pasal-pasal 34,42,46,52, dan 75, atau, kecuali apa yang diatur dalam Pasal 77, bila perkawinan itu dilangsungkan tidak di muka umum dalam gedung tempat akta-akta Catatan Sipil dibuat. Dalam hal-hal itu berlakulah ketentuan Pasal 82 bagi Pegawai-pegawai Catatan Sipil."
Pasal 99a,"Pembatalan suatu perkawinan oleh Pengadilan atas tuntutan Kejaksaan di Pengadilan tersebut harus didaftar dalam daftar perkawinan yang sedang berjalan oleh Pegawai Catatan Sipil tempat perkawinan itu dilangsungkan, dengan cara yang sesuai dengan alinea pertama Pasal 64 Reglemen tentang Catatan Sipil untuk golongan Eropa atau alinea pertama Pasal 72 Reglemen yang sama untuk golongan Tionghoa. Tentang pendaftaran itu harus dibuat catatan pada margin akta perkawinan.
Bila perkawinan itu berlangsung di luar Indonesia, maka pendaftarannya dilakukan di Jakarta."
Pasal 100,"Adanya suatu perkawinan tidak dapat dibuktikan dengan cara lain daripada dengan akta pelaksanaan perkawinan itu yang didaftarkan dalam daftar-daftar Catatan Sipil, kecuali dalam hal-hal yang diatur dalam pasal-pasal berikut."
Pasal 101,"Bila ternyata bahwa daftar-daftar itu tidak pernah ada, atau telah hilang, atau akta perkawinan itu tidak terdapat di dalamnya, maka penilaian tentang cukup tidaknya bukti-bukti tentang adanya perkawinan diserahkan kepada Hakim, asalkan kelihatan jelas adanya hubungan selaku suami isteri."
Pasal 102,"Keabsahan seorang anak yang tidak dapat memperlihatkan akta perkawinan orang tuanya yang sudah meninggal, tidak dapat dibantah, bila dia telah memperlihatkan kedudukannya sebagai anak sesuai dengan akta kelahirannya, dan orang tuanya telah hidup secara jelas sebagai suami- isteri."
Pasal 103,"Suami isteri wajib setia satu sama lain, saling menolong dan saling membantu."
Pasal 104,"Suami isteri, dengan hanya melakukan perkawinan, telah saling mengikatkan diri untuk memelihara dan mendidik anak mereka."
