,Pasal,Isi
39,Pasal 43,"Dalam waktu tiga minggu, atau dalam jangka waktu yang lain jika dianggap perlu oleh Pengadilan Negeri, terhitung dari hari pengajuan surat permohonan itu, Pengadilan harus berusaha menghadapkan bapak dan ibu, beserta anak itu, agar dalam suatu sidang tertutup kepada mereka diberi penjelasan-penjelasan yang dianggap berguna oleh pengadilan demi kepentingan masing-masing. Mengenai pertemuan pihak-pihak tersebut harus dibuat berita acara tanpa mencantumkan alasan-alasan yang mereka kemukakan."
40,Pasal 44,"Bila baik pihaknya maupun ibunya tidak hadir, perkawinan dapat dilangsungkan dengan penunjukan akta yang memperlihatkan ketidakhadiran itu."
41,Pasal 45,"Bila anak itu tidak hadir, maka perkawinannya tidak dapat dilaksanakan, kecuali sesudah permohonan diajukan sekali lagi untuk perantaraan pengadilan."
42,Pasal 46,"Bila, sesudah anak itu dan kedua orang tuanya atau salah satu orang tua hadir, kedua orang tua itu atau salah seorang tetap menolak, maka perkawinan tidak boleh dilaksanakan bila belum lampau tiga bulan terhitung dari hari pertemuan itu."
43,Pasal 47,
44,Pasal 48,"Sekiranya kedua orang tua atau salah satu tidak berada di Indonesia, Presiden berkuasa memberi dispensasi dan kewajiban-kewajiban yang tercantum dalam Pasal 42 sampai dengan Pasal 47"
45,Pasal 49,"Dalam pengertian ketidakmungkinan bagi para orang tua atau para kakek nenek untuk memberi izin kepada anak di bawah umur untuk melakukan perkawinan, dalam hal-hal yang diatur dalam Pasal 35,37 dan 39, sekali-kali tidak termasuk ketidakhadiran terus-menerus atau sementara di Indonesia."
46,Pasal 51,"Pemberitahuan ini harus dilakukan, baik secara langsung, maupun dengan surat yang dengan cukup jelas memperlihatkan niat kedua calon suami-istri, dan tentang pemberitahuan itu harus dibuat sebuah akta oleh Pegawai Catatan Sipil."
47,Pasal 52,"Sebelum pelaksanaan perkawinan itu, Pegawai Catatan Sipil harus mengumumkan hal itu dan menempel surat pengumuman pada pintu utama gedung tempat penyimpanan daftar-daftar Catatan Sipil itu. Surat itu harus tetap tertempel selama sepuluh hari. Pengumuman itu tidak boleh dilangsungkan pada hari Minggu yang disamakan dengan hari Minggu dalam hal ini ialah hari Tahun Baru, hari Paskah kedua dan Pantekosta, hari Natal, hari Kenaikan Isa Almasih, dan hari Mi'raj Nabi Muhammad s. a. w."
48,Pasal 53,
49,Pasal 54,"Bila calon suami isteri belum sampai enam bulan penuh bertempat tinggal dalam daerah suatu Catatan Sipil, pengumumannya harus juga dilakukan oleh Pegawai Catatan Sipil di tempat tinggal mereka yang terakhir. Bila ada alasan-alasan yang penting dan kewajiban membuat pengumuman tersebut di atas boleh diberikan dispensasi oleh Kepala Pemerintahan Daerah yang di daerahnya telah dilakukan pemberitahuan kawin."
50,Pasal 55,Dihapus dengan S. 916 - 338 jo. 1917 - 18.
51,Pasal 56,Dihapus dengan S. 916 - 338 jo. 1917 - 18.
52,Pasal 57,"Bila perkawinan itu belum dilangsungkan dalam waktu satu tahun, terhitung dari waktu pengumuman, perkawinan itu tidak boleh dilangsungkan, kecuali bila sebelumnya diadakan pengumuman lagi."
53,Pasal 58,"Janji kawin tidak menimbulkan hak untuk menuntut di muka Hakim berlangsungnya perkawinan, juga tidak menimbulkan hak untuk menuntut penggantian biaya, kerugian dan bunga, akibat tidak dipenuhinya janji itu, semua persetujuan untuk ganti rugi dalam hal ini adalah batal."
54,Pasal 60,
55,Pasal 61,Bapak dan ibu dapat mencegah perkawinan dalam hal-hal:
56,Pasal 62,"Dalam hal kedua orang tua tidak ada, maka kakek nenek dan wali atau wali pengawas, bila yang disebut terakhir ini harus mengganti si wali, berhak untuk mencegah perkawinan dalam hal-hal seperti yang tercantum dalam nomor 3, 4, 5 dan 6° pasal yang lalu."
57,Pasal 63,"Dalam hal kakek nenek tidak ada, maka saudara laki-laki dan perempuan, paman dan bibi, demikian pula wali dan wali pengawas, pengampu dan pengampu pengawas, berhak mencegah perkawinan:"
58,Pasal 64,"Suami yang perkawinannya telah bubar karena perceraian, boleh mencegah perkawinan bekas isterinya, bila dia hendak kawin lagi sebelum lampau tiga ratus hari sejak pembubaran perkawinan yang dulu."
59,Pasal 65,Kejaksaan wajib mencegah perkawinan yang hendak dilangsungkan dalam hal-hal yang tercantum dalam Pasal 27 sampai dengan 34.
60,Pasal 66,"Pencegahan perkawinan ditangani oleh Pengadilan Negeri, yang di daerah hukumnya terletak tempat kedudukan Pegawai Catatan Sipil yang harus melangsungkan perkawinan itu."
61,Pasal 67,"Dalam akta pencegahan harus disebutkan segala alasan yang dijadikan dasar pencegahan itu, dan tidak diperkenakan mengajukan alasan baru, sejauh hal itu tidak timbul setelah pencegahan."
62,Pasal 68,Dihapus dengan S. 1937 - 595.
63,Pasal 69,"Bila pencegahan itu ditolak, para penentang boleh dikenakan kewajiban mengganti biaya, kerugian dan bunga, kecuali jika penentang itu adalah keluarga sedarah dalam garis ke atas dan garis ke bawah atau Kejaksaan."
64,Pasal 70,"Bila terjadi pencegahan perkawinan. Pegawai Catatan Sipil tidak diperkenankan untuk melaksanakan perkawinan itu, kecuali setelah kepadanya disampaikan suatu putusan pengadilan yang telah mendapat kekuatan hukum tetapi atau suatu akta otentik dengan mana pencegahan itu ditiadakan pelanggaran atas ketentuan ini kena ancaman hukuman penggantian biaya, kerugian dan bunga."
65,Pasal 72,"Jika di antara calon suami istri yang tidak dapat memperlihatkan akta kelahiran seperti yang disyaratkan pada nomor 1° pasal yang lalu, maka hal ini dapat diganti dengan akta tanda kenal lahir yang dikeluarkan oleh Kepala Pemerintahan Daerah tempat lahir atau tempat tinggal calon suami atau istri atas keterangan dua saksi laki-laki atau perempuan, keluarga atau bukan keluarga. Keterangan ini harus menyebutkan tempat dan waktu kelahirannya secermat mungkin, serta sebab-sebab yang menghalanginya untuk menunjukkan akta kelahiran."
66,Pasal 73,"Bila para pihak tidak dapat memperlihatkan akta kematian yang disebut dalam Pasal 71 nomor 5°, maka kekurangan itu dapat diperbaiki dengan cara yang sama seperti yang tercantum dalam pasal yang lalu."
67,Pasal 74,"Bila Pegawai Catatan Sipil menolak untuk melangsungkan perkawinan atas dasar tidak lengkapnya surat-surat dan keterangan-keterangan yang diharuskan oleh pasal-pasal yang lalu, maka pihak-pihak yang berkepentingan berhak mengajukan surat permohonan kepada Pengadilan Negeri; setelah mendengar Kejaksaan,bila ada alasan untuk itu,dan mendengar Pegawai Catatan Sipil,Pengadilan negeri itu secara singkat dan tanpa kemungkinan untuk banding,akan mengambil keputusan tentang lengkap atau tidak lengkapnya surat-surat."
68,Pasal 75,"Perkawinan tidak boleh dilangsungkan, sebelum hari kesepuluh setelah hari pengumuman, di mana hari itu sendiri tidak termasuk. Jika ada alasan penting Kepala Pemerintahan Daerah, yang di daerahnya telah dilakukan pemberitahuan kawin, berkuasa memberikan dispensasi dan"
69,Pasal 76,"Perkawinan harus dilaksanakan di muka umum, dalam gedung tempat membuat akta Catatan Sipil, di hadapan Pegawai Catatan Sipil tempat tinggal salah satu pihak dan dihadapan dua orang saksi, baik keluarga maupun bukan keluarga, yang telah mencapai umur dua puluh satu tahun dan berdiam di Indonesia."
70,Pasal 77,"Bila salah satu pihak karena halangan yang terbukti cukup sah, tidak dapat pergi ke gedung tersebut, perkawinan boleh dilangsungkan dalam sebuah rumah khusus di daerah Pegawai Catatan Sipil yang bersangkutan. Jika terjadi hal yang demikian, maka dalam akta perkawinan harus dicantumkan sebab-sebab terjadinya. Penilaian tentang sah tidaknya halangan tersebut dalam pasal ini, diserahkan kepada Pegawai Catatan Sipil itu."
71,Pasal 78,Kedua calon suami istri harus datang secara pribadi menghadap Pegawai Catatan Sipil itu.
72,Pasal 79,"Jika ada alasan-alasan penting. Presiden berkuasa untuk mengizinkan pihak-pihak yang bersangkutan melangsungkan perkawinan mereka dengan menggunakan seorang wakil yang khusus diberi kuasa penuh dengan akta otentik. Bila pemberi kuasa itu, sebelum perkawinan dilaksanakan, telah kawin dengan orang lain secara sah, maka perkawinan yang telah berlangsung dengan wakil khusus dianggap tidak pernah terjadi."
73,Pasal 80,"Kedua calon suami istri, di hadapan Pegawai Catatan Sipil dan dengan kehadiran para saksi, harus menerangkan bahwa yang satu menerima yang lain sebagai suami atau istrinya, dan bahwa dengan ketulusan hati mereka akan memenuhi kewajiban mereka, yang oleh undang- undang ditugaskan kepada mereka sebagai suami istri."
74,Pasal 81,"Tidak ada upacara keagamaan yang boleh diselenggarakan, sebelum kedua pihak membuktikan kepada pejabat agama mereka bahwa perkawinan di hadapan Pegawai Catatan Sipil telah berlangsung."
75,Pasal 82,"Jika terjadi pelanggaran oleh Pegawai Catatan Sipil atas ketentuan-ketentuan dalam bab ini, maka selama hal itu tidak diatur dalam aturan undang-undang hukum pidana, para Pegawai itu boleh dihukum oleh Pengadilan Negeri dengan denda uang yang tidak melebihi seratus rupiah, tanpa mengurangi hak pihak-pihak yang berkepentingan untuk menuntut ganti rugi, bila ada alasan untuk itu."
76,Pasal 84,"Dalam waktu satu tahun setelah kembalinya suami istri ke wilayah Indonesia, akta tentang perkawinan mereka di luar negeri harus didaftarkan dalam daftar umum perkawinan di tempat tinggal mereka."
77,Pasal 87,"Keabsahan suatu perkawinan yang berlangsung tanpa persetujuan bekas kedua suami istri atau salah seorang dari mereka, hanya dapat dibantah oleh suami istri itu, atau oleh salah seorang dari mereka yang memberikan persetujuan secara tidak bebas."
78,Pasal 88,
79,Pasal 89,"Bila perkawinan dilakukan oleh orang yang belum mencapai umur yang disyaratkan dalam Pasal 29, maka pembatalan perkawinan itu boleh dituntut, baik oleh orang yang belum cukup umur itu, maupun oleh Kejaksaan. Namun keabsahan perkawinan itu tidak dapat dibantah:"
80,Pasal 90,"Semua perkawinan yang dilakukan dengan melanggar ketentuan-ketentuan dalam pasal-pasal 30, 31, 32 dan 33, boleh dimintakan pembatalan, baik oleh suami istri itu sendiri, maupun oleh orang tua mereka atau keluarga sedarah mereka dalam garis ke atas, atau oleh siapa pun yang mempunyai kepentingan dengan pembatalan itu, ataupun oleh Kejaksaan."
81,Pasal 91,"Bila suatu perkawinan dilaksanakan tanpa izin bapak, ibu, kakek, nenek, wali atau wali pengawas, maka dalam hal izin harus diperoleh ataupun wali harus didengar menurut pasal- pasal 36, 37, 38, 39 dan 40, pembatalan perkawinan hanya boleh dituntut oleh orang yang harus diperoleh izinnya atau harus didengar menurut undang-undang."
82,Pasal 92,"Perkawinan yang dilangsungkan tidak dihadapan Pegawai Catatan Sipil yang berwenang dan tanpa kehadiran sejumlah saksi yang disyaratkan, dapat dimintakan pembatalannya oleh suami istri itu, oleh bapak, ibu, dan keluarga sedarah lainnya dalam garis ke atas, dan juga oleh wali, wali pengawas, dan oleh siapa pun yang berkepentingan dalam hal itu, dan akhirnya oleh Kejaksaan."
83,Pasal 93,"Dalam segala hal di mana sesuai dengan pasal-pasal 85, 90 dan 92 suatu tuntutan hukum pernyataan batal dapat dimulai oleh orang yang mempunyai kepentingan dalam ha! itu, yang demikian tidak dapat dilakukan oleh kerabat sedarah dalam garis ke samping oleh anak dari perkawinan lain, atau oleh orang-orang luar, selama suami istri itu kedua-duanya masih hidup, dan tuntutan boleh diajukan hanya bila mereka dalam hal itu telah memperoleh atau akan segera memperoleh kepentingan."
84,Pasal 94,"Setelah perkawinan dibubarkan, Kejaksaan tidak boleh menuntut pembatalannya."
85,Pasal 95,"Suatu perkawinan, walaupun telah dinyatakan batal, mempunyai segala akibat perdatanya, baik terhadap suami isteri, maupun terhadap anak-anak mereka, bila perkawinan itu dilangsungkan dengan itikad baik oleh kedua suami isteri itu."
86,Pasal 96,"Bila itikad baik hanya ada pada salah seorang dan suami isteri, maka perkawinan itu hanya mempunyai akibat-akibat perdata yang menguntungkan pihak yang beritikad baik itu dan bagi anak-anak yang lahir dan perkawinan itu. Suami atau isteri yang beritikad buruk boleh dijatuhi hukuman mengganti biaya, kerugian dan bunga terhadap pihak yang lain."
87,Pasal 97,"Dalam ha! tersebut dalam dua pasal yang lalu, perkawinan itu berhenti mempunyai akibat- akibat perdata, terhitung sejak hari perkawinan itu dinyatakan batal."
88,Pasal 98,"Batalnya suatu perkawinan tidak boleh merugikan pihak ketiga, bila dia telah berbuat dengan itikad baik dengan suami istri itu."
89,Pasal 99,"Tiada suatu perkawinan pun yang harus batal bila terjadi pelanggaran terhadap ketentuan- ketentuan pasal-pasal 34,42,46,52, dan 75, atau, kecuali apa yang diatur dalam Pasal 77, bila perkawinan itu dilangsungkan tidak di muka umum dalam gedung tempat akta-akta Catatan Sipil dibuat. Dalam hal-hal itu berlakulah ketentuan Pasal 82 bagi Pegawai-pegawai Catatan Sipil."
90,Pasal 99a,
91,Pasal 101,"Bila ternyata bahwa daftar-daftar itu tidak pernah ada, atau telah hilang, atau akta perkawinan itu tidak terdapat di dalamnya, maka penilaian tentang cukup tidaknya bukti-bukti tentang adanya perkawinan diserahkan kepada Hakim, asalkan kelihatan jelas adanya hubungan selaku suami isteri."
92,Pasal 102,"Keabsahan seorang anak yang tidak dapat memperlihatkan akta perkawinan orang tuanya yang sudah meninggal, tidak dapat dibantah, bila dia telah memperlihatkan kedudukannya sebagai anak sesuai dengan akta kelahirannya, dan orang tuanya telah hidup secara jelas sebagai suami- isteri."
93,Pasal 104,"Suami isteri, dengan hanya melakukan perkawinan, telah saling mengikatkan diri untuk memelihara dan mendidik anak mereka."
94,Pasal 105,
95,Pasal 106,"Setiap isteri harus patuh kepada suaminya. Dia wajib tinggal serumah dengan suaminya dan mengikutinya, di mana pun dianggapnya perlu untuk bertempat tinggal."
96,Pasal 107,"Setiap suami wajib menerima isterinya di rumah yang ditempatinya. Dia wajib melindungi isterinya, dan memberinya apa saja yang perlu, sesuai dengan kedudukan dan kemampuannya."
97,Pasal 108,"Seorang isteri, sekalipun ia kawin di luar harta bersama, atau dengan harta benda terpisah, tidak dapat menghibahkan, memindahtangankan, menggadaikan, memperoleh apa pun, baik secara cuma-cuma maupun dengan beban, tanpa bantuan suami dalam akta atau izin tertulis. Sekalipun suami telah memberi kuasa kepada isterinya untuk membuat akta atau perjanjian tertentu, si isteri tidaklah berwenang untuk menerima pembayaran apa pun, atau memberi pembebasan untuk itu tanpa izin tegas dari suami."
98,Pasal 109,"Mengenai perbuatan atau perjanjian, yang dibuat oleh seorang isteri karena apa saja yang menyangkut perbelanjaan rumah tangga biasa dan sehari-hari, juga mengenai perjanjian perburuhan yang diadakan olehnya sebagai majikan untuk keperluan rumah tangga, undang- undang menganggap bahwa ia telah mendapat persetujuan dan suaminya."
99,Pasal 110,"Isteri tidak boleh tampil dalam pengadilan tanpa bantuan suaminya, meskipun dia kawin tidak dengan harta bersama, atau dengan harta terpisah, atau meskipun dia secara mandiri menjalankan pekerjaan bebas."
100,Pasal 111,Bantuan suami tidak diperlukan:
101,Pasal 112,"Bila suami menolak memberi kuasa kepada isterinya untuk membuat akta, atau menolak tampil di Pengadilan, maka si isteri boleh memohon kepada Pengadilan Negeri di tempat tinggi mereka bersama supaya dikuasakan untuk itu."
102,Pasal 113,"Seorang isteri yang atas usaha sendiri melakukan suatu pekerjaan dengan izin suaminya, secara tegas atau secara diam-diam, boleh mengadakan perjanjian apa pun yang berkenaan dengan usaha itu tanpa bantuan suaminya. Bila ia kawin dengan suaminya dengan penggabungan harta, maka si suami juga terikat pada perjanjian itu. Bila si suami menarik kembali izinnya, dia wajib mengumumkan penarikan kembali itu."
103,Pasal 114,"Bila si suami, karena sedang tidak ada atau karena alasan-alasan lain, terhalang untuk membantu isterinya atau memberinya kuasa, atau bila ia mempunyai kepentingan yang berlawanan, maka Pengadilan Negeri di tempat tinggal suami isteri itu boleh memberikan wewenang kepada si isteri untuk tampil di muka Pengadilan, mengadakan perjanjian, melakukan pengurusan, dan membuat akta-akta lain."
104,Pasal 115,"Pemberian kuasa umum, pun jika dicantumkan pada perjanjian perkawinan, berlaku tidak lebih daripada yang berkenaan dengan pengurusan harta kekayaan si isteri itu sendiri."
105,Pasal 116,"Batalnya suatu perbuatan berdasarkan tidak adanya kuasa, hanya dapat dituntut oleh si isteri, suaminya atau oleh para ahli waris mereka."
106,Pasal 117,"Bila seorang isteri, setelah pembubaran perkawinan melaksanakan perjanjian atau akta, seluruhnya atau sebagian, yang telah dia adakan tanpa kuasa yang disyaratkan, maka dia tidak berwenang untuk meminta pembatalan perjanjian atau akta itu."
107,Pasal 118,Isteri dapat membuat wasiat tanpa izin suami.
108,Pasal 120,"Berkenaan dengan soal keuntungan, maka harta bersama itu meliputi barang-barang bergerak dan barang-barang tak bergerak suami isteri itu, baik yang sudah ada maupun yang akan ada, juga barang-barang yang mereka peroleh secara cuma-cuma, kecuali bila dalam hal terakhir ini yang mewariskan atau yang menghibahkan menentukan kebalikannya dengan tegas."
109,Pasal 121,"Berkenaan dengan beban-beban, maka harta bersama itu meliputi semua utang yang dibuat oleh masing-masing suami isteri, baik sebelum perkawinan maupun setelah perkawinan maupun selama perkawinan."
110,Pasal 122,"Semua penghasilan dan pendapatan, begitu pula semua keuntungan-keuntungan dan kerugian- kerugian yang diperoleh selama perkawinan, juga menjadi keuntungan dan kerugian harta bersama itu."
111,Pasal 123,"Semua utang kematian, yang terjadi setelah seorang meninggal dunia, hanya menjadi beban para ahli waris dan yang meninggal itu."
112,Pasal 125,"Bila si suami tidak ada, atau berada dalam keadaan tidak mungkin untuk menyatakan kehendaknya, sedangkan hal ini dibutuhkan segera, maka si isteri boleh mengikatkan atau memindahtangankan barang-barang dan harta bersama itu, setelah dikuasakan untuk itu oleh Pengadilan Negeri."
113,Pasal 127,"Setelah salah seorang dan suami isteri meninggal, maka bila ada meninggalkan anak yang masih di bawah umur, pihak yang hidup terlama wajib untuk mengadakan pendaftaran harta benda yang merupakan harta bersama dalam waktu empat bulan. Pendaftaran harta bersama itu boleh dilakukan di bawah tangan, tetapi harus dihadiri oleh wali pengawas. Bila pendaftaran harta bersama itu tidak diadakan, gabungan harta bersama berlangsung terus untuk keuntungan si anak yang masih di bawah umur dan sekali-kali tidak boleh merugikannya."
114,Pasal 128,"Setelah bubarnya harta bersama,. kekayaan bersama mereka dibagi dua antara suami dan isteri, atau antara para ahli waris mereka, tanpa mempersoalkan dan pihak mana asal barang-barang itu."
